"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
0.508032,0.508032,0.508032,0.508032,0.508032,3.564128,3.564128,3.564128,3.564128,3.564128,0.521568,0.521568,0.521568,0.521568,0.521568,0.240724,0.240724,0.240724,0.240724,0.240724,0.231292,0.231292,0.231292,0.231292,0.231292,0.242564,0.242564,0.242564,0.242564,0.242564,0.282348,0.282348,0.282348,0.282348,0.282348,0.259912,0.259912,0.259912,0.259912,0.259912,0.203528,0.203528,0.203528,0.203528,0.203528,1.46112,1.46112,1.46112,1.46112,1.46112,0.153932,0.153932,0.153932,0.153932,0.153932,0.109776,0.109776,0.109776,0.109776,0.109776,0.086488,0.086488,0.086488,0.086488,0.086488,0.07876,0.07876,0.07876,0.07876,0.07876,0.063036,0.063036,0.063036,0.063036,0.063036,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632
0.508032,0.508032,0.508032,0.508032,0.508032,3.564128,3.564128,3.564128,3.564128,3.564128,0.521568,0.521568,0.521568,0.521568,0.521568,0.240724,0.240724,0.240724,0.240724,0.240724,0.231292,0.231292,0.231292,0.231292,0.231292,0.242564,0.242564,0.242564,0.242564,0.242564,0.282348,0.282348,0.282348,0.282348,0.282348,0.259912,0.259912,0.259912,0.259912,0.259912,0.203528,0.203528,0.203528,0.203528,0.203528,1.46112,1.46112,1.46112,1.46112,1.46112,0.153932,0.153932,0.153932,0.153932,0.153932,0.109776,0.109776,0.109776,0.109776,0.109776,0.086488,0.086488,0.086488,0.086488,0.086488,0.07876,0.07876,0.07876,0.07876,0.07876,0.063036,0.063036,0.063036,0.063036,0.063036,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632
0.508032,0.508032,0.508032,0.508032,0.508032,3.564128,3.564128,3.564128,3.564128,3.564128,0.521568,0.521568,0.521568,0.521568,0.521568,0.240724,0.240724,0.240724,0.240724,0.240724,0.231292,0.231292,0.231292,0.231292,0.231292,0.242564,0.242564,0.242564,0.242564,0.242564,0.282348,0.282348,0.282348,0.282348,0.282348,0.259912,0.259912,0.259912,0.259912,0.259912,0.203528,0.203528,0.203528,0.203528,0.203528,1.46112,1.46112,1.46112,1.46112,1.46112,0.153932,0.153932,0.153932,0.153932,0.153932,0.109776,0.109776,0.109776,0.109776,0.109776,0.086488,0.086488,0.086488,0.086488,0.086488,0.07876,0.07876,0.07876,0.07876,0.07876,0.063036,0.063036,0.063036,0.063036,0.063036,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632
0.508032,0.508032,0.508032,0.508032,0.508032,3.564128,3.564128,3.564128,3.564128,3.564128,0.521568,0.521568,0.521568,0.521568,0.521568,0.240724,0.240724,0.240724,0.240724,0.240724,0.231292,0.231292,0.231292,0.231292,0.231292,0.242564,0.242564,0.242564,0.242564,0.242564,0.282348,0.282348,0.282348,0.282348,0.282348,0.259912,0.259912,0.259912,0.259912,0.259912,0.203528,0.203528,0.203528,0.203528,0.203528,1.46112,1.46112,1.46112,1.46112,1.46112,0.153932,0.153932,0.153932,0.153932,0.153932,0.109776,0.109776,0.109776,0.109776,0.109776,0.086488,0.086488,0.086488,0.086488,0.086488,0.07876,0.07876,0.07876,0.07876,0.07876,0.063036,0.063036,0.063036,0.063036,0.063036,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632
0.508032,0.508032,0.508032,0.508032,0.508032,3.564128,3.564128,3.564128,3.564128,3.564128,0.521568,0.521568,0.521568,0.521568,0.521568,0.240724,0.240724,0.240724,0.240724,0.240724,0.231292,0.231292,0.231292,0.231292,0.231292,0.242564,0.242564,0.242564,0.242564,0.242564,0.282348,0.282348,0.282348,0.282348,0.282348,0.259912,0.259912,0.259912,0.259912,0.259912,0.203528,0.203528,0.203528,0.203528,0.203528,1.46112,1.46112,1.46112,1.46112,1.46112,0.153932,0.153932,0.153932,0.153932,0.153932,0.109776,0.109776,0.109776,0.109776,0.109776,0.086488,0.086488,0.086488,0.086488,0.086488,0.07876,0.07876,0.07876,0.07876,0.07876,0.063036,0.063036,0.063036,0.063036,0.063036,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632,0.056632
0.349496,0.349496,0.349496,0.349496,0.349496,1.430712,1.430712,1.430712,1.430712,1.430712,3.040912,3.040912,3.040912,3.040912,3.040912,0.618604,0.618604,0.618604,0.618604,0.618604,0.308436,0.308436,0.308436,0.308436,0.308436,0.191704,0.191704,0.191704,0.191704,0.191704,0.243196,0.243196,0.243196,0.243196,0.243196,0.214848,0.214848,0.214848,0.214848,0.214848,0.208092,0.208092,0.208092,0.208092,0.208092,0.585088,0.585088,0.585088,0.585088,0.585088,0.163812,0.163812,0.163812,0.163812,0.163812,0.110432,0.110432,0.110432,0.110432,0.110432,0.086572,0.086572,0.086572,0.086572,0.086572,0.072188,0.072188,0.072188,0.072188,0.072188,0.05836,0.05836,0.05836,0.05836,0.05836,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394
0.349496,0.349496,0.349496,0.349496,0.349496,1.430712,1.430712,1.430712,1.430712,1.430712,3.040912,3.040912,3.040912,3.040912,3.040912,0.618604,0.618604,0.618604,0.618604,0.618604,0.308436,0.308436,0.308436,0.308436,0.308436,0.191704,0.191704,0.191704,0.191704,0.191704,0.243196,0.243196,0.243196,0.243196,0.243196,0.214848,0.214848,0.214848,0.214848,0.214848,0.208092,0.208092,0.208092,0.208092,0.208092,0.585088,0.585088,0.585088,0.585088,0.585088,0.163812,0.163812,0.163812,0.163812,0.163812,0.110432,0.110432,0.110432,0.110432,0.110432,0.086572,0.086572,0.086572,0.086572,0.086572,0.072188,0.072188,0.072188,0.072188,0.072188,0.05836,0.05836,0.05836,0.05836,0.05836,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394
0.349496,0.349496,0.349496,0.349496,0.349496,1.430712,1.430712,1.430712,1.430712,1.430712,3.040912,3.040912,3.040912,3.040912,3.040912,0.618604,0.618604,0.618604,0.618604,0.618604,0.308436,0.308436,0.308436,0.308436,0.308436,0.191704,0.191704,0.191704,0.191704,0.191704,0.243196,0.243196,0.243196,0.243196,0.243196,0.214848,0.214848,0.214848,0.214848,0.214848,0.208092,0.208092,0.208092,0.208092,0.208092,0.585088,0.585088,0.585088,0.585088,0.585088,0.163812,0.163812,0.163812,0.163812,0.163812,0.110432,0.110432,0.110432,0.110432,0.110432,0.086572,0.086572,0.086572,0.086572,0.086572,0.072188,0.072188,0.072188,0.072188,0.072188,0.05836,0.05836,0.05836,0.05836,0.05836,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394
0.349496,0.349496,0.349496,0.349496,0.349496,1.430712,1.430712,1.430712,1.430712,1.430712,3.040912,3.040912,3.040912,3.040912,3.040912,0.618604,0.618604,0.618604,0.618604,0.618604,0.308436,0.308436,0.308436,0.308436,0.308436,0.191704,0.191704,0.191704,0.191704,0.191704,0.243196,0.243196,0.243196,0.243196,0.243196,0.214848,0.214848,0.214848,0.214848,0.214848,0.208092,0.208092,0.208092,0.208092,0.208092,0.585088,0.585088,0.585088,0.585088,0.585088,0.163812,0.163812,0.163812,0.163812,0.163812,0.110432,0.110432,0.110432,0.110432,0.110432,0.086572,0.086572,0.086572,0.086572,0.086572,0.072188,0.072188,0.072188,0.072188,0.072188,0.05836,0.05836,0.05836,0.05836,0.05836,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394
0.349496,0.349496,0.349496,0.349496,0.349496,1.430712,1.430712,1.430712,1.430712,1.430712,3.040912,3.040912,3.040912,3.040912,3.040912,0.618604,0.618604,0.618604,0.618604,0.618604,0.308436,0.308436,0.308436,0.308436,0.308436,0.191704,0.191704,0.191704,0.191704,0.191704,0.243196,0.243196,0.243196,0.243196,0.243196,0.214848,0.214848,0.214848,0.214848,0.214848,0.208092,0.208092,0.208092,0.208092,0.208092,0.585088,0.585088,0.585088,0.585088,0.585088,0.163812,0.163812,0.163812,0.163812,0.163812,0.110432,0.110432,0.110432,0.110432,0.110432,0.086572,0.086572,0.086572,0.086572,0.086572,0.072188,0.072188,0.072188,0.072188,0.072188,0.05836,0.05836,0.05836,0.05836,0.05836,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394,0.05394
